"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
30.622,-0.42804,-1.3961,0.0054915,8.6939e-05,0.90035,-16.976,0,0.33,0.34031,0.19872
30.505,-0.66166,-1.6069,0.0055095,6.7201e-05,1.3912,-14.776,0,0.33,0.34033,0.17391
30.464,-1.0194,-1.1632,0.0054962,8.5818e-05,1.0669,-12.949,0,0.33,0.38905,0.14889
30.405,-1.0483,-1.4621,0.0055141,6.3525e-05,1.563,-12.324,0,0.33,0.36472,0.14892
10.083,1.7878,-1.2027,4.1738,0.0013992,729.6,-43.214,0,0.33,0,-0.17323
24.406,1.482,-1.2183,1.3152,0.0010477,338.04,-40.856,0,0.33,0.0023324,-0.19798
24.366,1.4518,-1.2336,1.2852,0.001024,329.02,-40.603,0,0.33,0,-0.19797
-1.8801,-0.69624,6.6233,7.4751,0.0017516,1007.6,-71.866,0,0.33,0,0.12373
-1.3194,-1.5998,8.4974,7.6575,0.002159,1002.6,-83.028,0,0.33,0.0017107,0.09899
-1.2816,-1.6897,8.7441,7.5304,0.001726,1011.8,-82.552,0,0.33,0,0.098986
24.426,1.4404,1.225,1.2766,0.0010245,327.83,-40.909,0,0.33,0,0.19797
24.463,1.4683,1.211,1.3049,0.0010467,336.27,-41.145,0,0.33,0.0021869,0.19798
10.172,1.7995,1.1633,4.1566,0.0013976,727.47,-43.496,0,0.33,0,0.17323
-1.1949,-1.6999,-8.7873,7.482,0.0017186,1008.5,-82.372,0,0.33,0,-0.098986
-1.7978,-0.7132,-6.68,7.4335,0.0017427,1005.4,-71.733,0,0.33,0,-0.12373
30.691,-0.024763,0.76293,0.0054729,0.00018231,0.47887,-18.462,0,0.33,0.34012,-0.29803
30.742,0.13083,0.79638,0.005482,0.0001771,0.57809,-20.476,0,0.33,0.29148,-0.29803
30.697,-0.20008,1.0594,0.0054799,0.00011903,0.62618,-18.487,0,0.33,0.34016,-0.24851
30.748,0.010649,1.2457,0.0054965,0.00010189,0.87696,-20.912,0,0.33,0.29152,-0.24849
30.66,-0.096315,0.61623,0.0054677,0.00023881,0.40018,-16.64,0,0.33,0.38873,-0.29809
30.654,-0.33277,0.85072,0.0054725,0.00014762,0.50348,-16.846,0,0.33,0.3888,-0.24852
30.522,-0.85418,-0.79594,0.005481,0.00012455,0.68351,-13.735,0,0.33,0.44184,0.14888
30.402,-1.1394,-0.70101,0.005497,0.00010324,1.056,-11.571,0,0.33,0.44184,0.099213
30.521,-0.86962,-0.82085,0.0054818,0.00011983,0.69995,-13.718,0,0.33,0.43775,0.14888
30.396,-1.1704,-0.72825,0.0054988,9.7046e-05,1.1,-11.452,0,0.33,0.43779,0.099216
30.585,-0.59661,-0.75389,0.0054724,0.00015052,0.50648,-14.979,0,0.33,0.44184,0.19874
30.586,-0.60611,-0.78027,0.0054728,0.00014326,0.51556,-15.055,0,0.33,0.43762,0.19875
31,0.55647,0.093499,0.021333,0.00024109,23.382,-32.595,0,0.33,0.048397,0.29754
30.7,0.95904,0.22555,0.12622,0.00051622,59.498,-38.462,0,0.33,0.048422,0.24788
30.949,0.44099,0.19859,0.026144,0.00027985,23.443,-31.379,0,0.33,0,0.29748
30.353,0.81068,0.66337,0.20681,0.00067624,75.453,-38.141,0,0.33,0,0.24776
30.995,0.61191,-0.2979,0.0076261,0.0001517,10.608,-30.364,0,0.33,0.096945,0.29766
31.079,1.1057,-0.52374,0.028744,0.00026265,30.473,-37.548,0,0.33,0.096953,0.24808
30.974,0.67932,-0.62347,0.0060002,0.00013051,5.106,-29.552,0,0.33,0.14552,0.29781
31.045,0.94643,-0.97977,0.0091043,0.00013091,11.908,-33.971,0,0.33,0.14553,0.24827
30.877,0.46632,-0.73835,0.0056029,0.00014874,1.8936,-25.835,0,0.33,0.19414,0.29792
